dt,code,algo_a,algo_b,abs_diff
2025-01-03 14:30:00,110079.SH,129900515197.68,129900515197.68004,4.57763671875e-05
2025-01-03 14:30:00,128130.SZ,99828064523.424,99828064523.42404,4.57763671875e-05
2025-01-03 14:30:00,110085.SH,70055145700.0,70055145699.99995,4.57763671875e-05
2025-01-03 14:30:00,127055.SZ,21280251277.976,21280251277.976048,4.57763671875e-05
2025-01-03 14:30:00,127061.SZ,29405592291.538002,29405592291.538048,4.57763671875e-05
2025-01-03 14:30:00,113042.SH,127814514488.23001,127814514488.23006,4.57763671875e-05
2025-01-03 14:30:00,113628.SH,14745833319.099998,14745833319.100042,4.38690185546875e-05
2025-01-03 14:30:00,127085.SZ,17954101959.858,17954101959.85796,4.1961669921875e-05
2025-01-03 14:30:00,113605.SH,32470400319.09,32470400319.090042,4.1961669921875e-05
2025-01-03 14:30:00,123166.SZ,21051792488.1,21051792488.099957,4.1961669921875e-05
2025-01-03 14:30:00,113066.SH,30343354324.95,30343354324.950043,4.1961669921875e-05
2025-01-03 14:30:00,123063.SZ,10109039486.28,10109039486.280043,4.1961669921875e-05
2025-01-03 14:30:00,113623.SH,49814751625.28,49814751625.27996,3.814697265625e-05
2025-01-03 14:30:00,110094.SH,20903606101.809998,20903606101.810036,3.814697265625e-05
2025-01-03 14:30:00,127100.SZ,16654628347.973,16654628347.972961,3.814697265625e-05
2025-01-03 14:30:00,127102.SZ,20176850357.876,20176850357.876038,3.814697265625e-05
2025-01-03 14:30:00,128129.SZ,40602025751.778,40602025751.77796,3.814697265625e-05
2025-01-03 14:30:00,111015.SH,34956733214.45,34956733214.450035,3.814697265625e-05
2025-01-03 14:30:00,127047.SZ,57333076358.95,57333076358.94996,3.814697265625e-05
2025-01-03 14:30:00,118024.SH,31616867490.98,31616867490.980038,3.814697265625e-05
2025-01-03 14:30:00,118051.SH,25196282573.04,25196282573.039963,3.814697265625e-05
2025-01-03 14:30:00,110086.SH,20673313607.27,20673313607.27004,3.814697265625e-05
2025-01-03 14:30:00,123234.SZ,20210105333.784,20210105333.783966,3.4332275390625e-05
2025-01-03 14:30:00,113058.SH,21978620028.940002,21978620028.940037,3.4332275390625e-05
2025-01-03 14:30:00,113043.SH,30022122444.280003,30022122444.27997,3.4332275390625e-05
2025-01-03 14:30:00,113676.SH,29490735101.0,29490735101.000034,3.4332275390625e-05
2025-01-03 14:30:00,118037.SH,32215065218.440002,32215065218.43997,3.4332275390625e-05
2025-01-03 14:30:00,127051.SZ,10157487404.689999,10157487404.690033,3.4332275390625e-05
2025-01-03 14:30:00,113030.SH,34248289956.850002,34248289956.849968,3.4332275390625e-05
2025-01-03 14:30:00,110060.SH,207343606738.56,207343606738.56003,3.0517578125e-05
2025-01-03 14:30:00,128081.SZ,39210015812.240005,39210015812.240036,3.0517578125e-05
2025-01-03 14:30:00,127049.SZ,44958529976.44401,44958529976.44404,3.0517578125e-05
2025-01-03 14:30:00,113055.SH,176840769391.53003,176840769391.53,3.0517578125e-05
2025-01-03 14:30:00,113045.SH,41815848333.16,41815848333.160034,3.0517578125e-05
2025-01-03 14:30:00,127014.SZ,29278258788.260002,29278258788.260033,3.0517578125e-05
2025-01-03 14:30:00,113549.SH,62979315448.84,62979315448.84003,3.0517578125e-05
2025-01-03 14:30:00,113569.SH,17975154176.29,17975154176.28997,3.0517578125e-05
2025-01-03 14:30:00,113582.SH,35201404228.54,35201404228.54003,3.0517578125e-05
2025-01-03 14:30:00,123223.SZ,67674613974.7,67674613974.69997,3.0517578125e-05
2025-01-03 14:30:00,123222.SZ,84665137540.56999,84665137540.56996,3.0517578125e-05
2025-01-03 14:30:00,123239.SZ,24938088971.168,24938088971.16803,3.0517578125e-05
2025-01-03 14:30:00,113069.SH,138301843464.98,138301843464.97998,3.0517578125e-05
2025-01-03 14:30:00,113065.SH,61574811149.66,61574811149.660034,3.0517578125e-05
2025-01-03 14:30:00,123067.SZ,38357091485.72,38357091485.72003,3.0517578125e-05
2025-01-03 14:30:00,113641.SH,54576955737.2,54576955737.19997,3.0517578125e-05
