trade_date,code,score
2024-05-10,123115.SZ,0.057671346088713556
2024-05-10,123117.SZ,0.3779690524297935
2024-05-10,123118.SZ,-0.01854104230410067
2024-05-10,123119.SZ,-0.0286363746756836
2024-05-10,123121.SZ,-0.07973634388220564
2024-05-10,123124.SZ,-0.13667761331085276
2024-05-10,123126.SZ,-0.6865911637770287
2024-05-10,123127.SZ,0.039835135079807654
2024-05-10,123128.SZ,0.5757631566807034
2024-05-10,123129.SZ,0.24203424593169354
2024-05-10,123130.SZ,0.3209409073768178
2024-05-10,123131.SZ,0.24703352577075444
2024-05-10,123132.SZ,0.047947668798142856
2024-05-10,123133.SZ,0.16072362788209332
2024-05-10,123135.SZ,0.8273343710613146
2024-05-10,123138.SZ,-0.015742547128137926
2024-05-10,123141.SZ,-0.20936603450778932
2024-05-10,123142.SZ,0.1716791173170547
2024-05-10,123143.SZ,0.4154838836354616
2024-05-10,123144.SZ,0.19189090190561686
2024-05-10,123145.SZ,-0.09063179653488197
2024-05-10,123147.SZ,0.4427717306003096
2024-05-10,123150.SZ,0.11245568591034019
2024-05-10,123151.SZ,0.22308106188349971
2024-05-10,123152.SZ,0.1611440692431031
2024-05-10,123153.SZ,0.29451044604305193
2024-05-10,123154.SZ,-0.06709736856306506
2024-05-10,123155.SZ,0.15468339144399434
2024-05-10,123156.SZ,-0.06116350277434841
2024-05-10,123157.SZ,0.14745604385406733
2024-05-10,123158.SZ,0.3012479781004726
2024-05-10,123159.SZ,0.178184023999335
2024-05-10,123160.SZ,-0.015535529633027623
2024-05-10,123161.SZ,0.2162301734000571
2024-05-10,123162.SZ,0.39271420818790637
2024-05-10,123163.SZ,0.12936475736810782
2024-05-10,123166.SZ,0.3415574004904629
2024-05-10,123168.SZ,0.6097305030416328
2024-05-10,123169.SZ,-0.22478530170143762
2024-05-10,123170.SZ,0.03581750766298416
2024-05-10,123171.SZ,0.10873798226321515
2024-05-10,123173.SZ,0.2476676817419884
2024-05-10,123174.SZ,0.29649241076073307
2024-05-10,123175.SZ,-0.39318184550268553
2024-05-10,123176.SZ,0.04942241233423699
2024-05-10,123177.SZ,0.2678944549584425
2024-05-10,123178.SZ,0.3464020426482779
2024-05-10,123179.SZ,0.047943059496155294
2024-05-10,123180.SZ,-0.17909925017998207
2024-05-10,123182.SZ,0.19054686631656997
2024-05-10,123183.SZ,0.335217919604195
2024-05-10,123184.SZ,0.27592581777526237
2024-05-10,123185.SZ,-0.4225212519121563
2024-05-10,123186.SZ,0.04514650510073523
2024-05-10,123187.SZ,-0.06477632027280032
2024-05-10,123188.SZ,-0.08862784444621474
2024-05-10,123189.SZ,-0.2224891476774727
2024-05-10,123190.SZ,0.47817193447270834
2024-05-10,123192.SZ,0.9759700646291026
2024-05-10,123193.SZ,-0.06196248820875417
2024-05-10,123194.SZ,-0.1292414200695203
2024-05-10,123195.SZ,0.11858820772703255
2024-05-10,123196.SZ,-0.2474445545619935
2024-05-10,123198.SZ,-0.011985019438021351
2024-05-10,123200.SZ,0.0160566852416065
2024-05-10,123201.SZ,-0.2837294197566085
2024-05-10,123202.SZ,-0.003554388809166392
2024-05-10,123203.SZ,-0.2683285679525396
2024-05-10,123204.SZ,-0.20190685932366229
2024-05-10,123205.SZ,-0.14589035658710145
2024-05-10,123206.SZ,1.5864617107132826
2024-05-10,123207.SZ,-0.27121706168112536
2024-05-10,123208.SZ,-0.14973748655915933
2024-05-10,123209.SZ,0.6193836464888566
2024-05-10,123210.SZ,0.11626364573751456
2024-05-10,123211.SZ,-0.1009604001541155
2024-05-10,123212.SZ,-0.2349275698901509
2024-05-10,123214.SZ,-0.1508298451684578
2024-05-10,123216.SZ,0.6894785682452061
2024-05-10,123218.SZ,0.04236764507549151
2024-05-10,123219.SZ,-0.08079239828168187
2024-05-10,123220.SZ,-0.052153064188393064
2024-05-10,123221.SZ,0.12066841623402898
2024-05-10,123222.SZ,-0.1429872413112563
2024-05-10,123223.SZ,-0.44977753588567293
2024-05-10,123224.SZ,-0.023129972269941096
2024-05-10,123225.SZ,-0.49367120119040336
2024-05-10,123226.SZ,-0.2309272840914568
2024-05-10,123227.SZ,-0.13464208353078105
2024-05-10,123228.SZ,-0.09832756310051173
2024-05-10,123229.SZ,-0.026815023337546304
2024-05-10,123230.SZ,-0.8704455830591042
2024-05-10,123231.SZ,-0.23941031399702078
2024-05-10,123232.SZ,-0.1321052106493598
2024-05-10,123233.SZ,-0.07980507514306712
2024-05-10,123234.SZ,-0.3776674945294166
2024-05-10,123235.SZ,-0.05073702571709315
2024-05-10,123236.SZ,-0.3806220238196239
2024-05-10,123237.SZ,-0.35570142830793494
2024-05-10,127007.SZ,0.02536364141724537
2024-05-10,127014.SZ,0.10918210421547078
2024-05-10,127015.SZ,-0.3464223908108594
2024-05-10,127016.SZ,-0.4893632297152781
2024-05-10,127018.SZ,0.03785421820289318
2024-05-10,127019.SZ,-0.0625593810415137
2024-05-10,127020.SZ,-0.10627632868910099
2024-05-10,127022.SZ,-0.16476691137031846
2024-05-10,127025.SZ,-0.22731336531916857
2024-05-10,127027.SZ,0.23963817849783392
2024-05-10,127030.SZ,-0.003640429394026019
2024-05-10,127032.SZ,0.029900468895624907
2024-05-10,127033.SZ,0.2099525727245789
2024-05-10,127037.SZ,0.6252405091088437
2024-05-10,127038.SZ,-0.26274032780523715
2024-05-10,127039.SZ,-0.04524826604574453
2024-05-10,127040.SZ,-0.14232619435477348
2024-05-10,127041.SZ,-0.008447559310478588
